title,genres,vote_average
Jumanji,"['Adventure', 'Fantasy', 'Family']",6.9
Grumpier Old Men,"['Romance', 'Comedy']",6.5
Waiting to Exhale,"['Comedy', 'Drama', 'Romance']",6.1
Father of the Bride Part II,['Comedy'],5.7
Heat,"['Action', 'Crime', 'Drama', 'Thriller']",7.7
Sabrina,"['Comedy', 'Romance']",6.2
Tom and Huck,"['Action', 'Adventure', 'Drama', 'Family']",5.4
Sudden Death,"['Action', 'Adventure', 'Thriller']",5.5
GoldenEye,"['Adventure', 'Action', 'Thriller']",6.6
The American President,"['Comedy', 'Drama', 'Romance']",6.5
Balto,"['Family', 'Animation', 'Adventure']",7.1
Nixon,"['History', 'Drama']",7.1
Cutthroat Island,"['Action', 'Adventure']",5.7
Casino,"['Drama', 'Crime']",7.8
Sense and Sensibility,"['Drama', 'Romance']",7.2
Four Rooms,"['Crime', 'Comedy']",6.5
Ace Ventura: When Nature Calls,"['Crime', 'Comedy', 'Adventure']",6.1
Money Train,"['Action', 'Comedy', 'Crime']",5.4
Get Shorty,"['Comedy', 'Thriller', 'Crime']",6.4
Copycat,"['Drama', 'Thriller']",6.5
Assassins,"['Action', 'Adventure', 'Crime', 'Thriller']",6.0
Powder,"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']",6.3
Leaving Las Vegas,"['Drama', 'Romance']",7.1
Othello,['Drama'],7.0
Now and Then,"['Comedy', 'Drama', 'Family']",6.6
The City of Lost Children,"['Fantasy', 'Science Fiction', 'Adventure']",7.6
Shanghai Triad,"['Drama', 'Crime']",6.5
Dangerous Minds,"['Drama', 'Crime']",6.4
Twelve Monkeys,"['Science Fiction', 'Thriller', 'Mystery']",7.4
Babe,"['Fantasy', 'Drama', 'Comedy', 'Family']",6.0
Carrington,"['History', 'Drama', 'Romance']",6.4
It Takes Two,"['Comedy', 'Family', 'Romance']",6.1
Clueless,"['Comedy', 'Drama', 'Romance']",6.9
Richard III,"['Drama', 'War']",6.9
Dead Presidents,"['Action', 'Crime', 'Drama', 'History']",6.6
Mortal Kombat,"['Action', 'Fantasy']",5.4
To Die For,"['Fantasy', 'Drama', 'Comedy', 'Thriller']",6.7
How To Make An American Quilt,"['Drama', 'Romance']",6.5
Se7en,"['Crime', 'Mystery', 'Thriller']",8.1
Pocahontas,"['Adventure', 'Animation', 'Drama', 'Family']",6.7
The Usual Suspects,"['Drama', 'Crime', 'Thriller']",8.1
Guardian Angel,"['Action', 'Thriller', 'Drama']",6.3
The Big Green,"['Action', 'Adventure', 'Comedy', 'Family']",5.2
Georgia,['Drama'],6.1
Home for the Holidays,"['Comedy', 'Drama', 'Romance']",6.3
Eye for an Eye,"['Drama', 'Thriller']",5.8
Mr. Holland's Opus,"['Music', 'Drama', 'Family']",6.9
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,['Comedy'],6.2
Two If by Sea,"['Comedy', 'Romance']",4.5
Bio-Dome,['Comedy'],4.4
Lawnmower Man 2: Beyond Cyberspace,"['Action', 'Science Fiction']",2.8
Two Bits,"['Drama', 'Family']",5.4
Friday,['Comedy'],7.0
From Dusk Till Dawn,"['Horror', 'Action', 'Thriller', 'Crime']",6.9
Fair Game,"['Action', 'Thriller', 'Romance']",4.1
Kicking and Screaming,"['Comedy', 'Drama', 'Romance']",7.0
Les Miserables,"['Drama', 'History']",6.6
Bed of Roses,"['Drama', 'Romance']",5.1
Big Bully,"['Comedy', 'Family']",3.9
